#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/cemu/RNGDumpAll.bin|  2.09e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/cemu/RNGDumpAll.bin|  2.02e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.90298561|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.65657287|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.57560996|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.78197243|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.33280934|  PASSED  
        diehard_opso|   0|   2097152|     100|0.93651539|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.06512278|  PASSED  
         diehard_dna|   0|   2097152|     100|0.46777184|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.87628778|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.58893060|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.18155342|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.06542757|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.87096303|  PASSED  
        diehard_sums|   0|       100|     100|0.01401515|  PASSED  
        diehard_runs|   0|    100000|     100|0.28547324|  PASSED  
        diehard_runs|   0|    100000|     100|0.44017382|  PASSED  
       diehard_craps|   0|    200000|     100|0.81902456|  PASSED  
       diehard_craps|   0|    200000|     100|0.21021798|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.80461576|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05926888|  PASSED  
         sts_monobit|   1|    100000|     100|0.66117920|  PASSED  
            sts_runs|   2|    100000|     100|0.20642780|  PASSED  
          sts_serial|   1|    100000|     100|0.42349646|  PASSED  
          sts_serial|   2|    100000|     100|0.81064635|  PASSED  
          sts_serial|   3|    100000|     100|0.57693110|  PASSED  
          sts_serial|   3|    100000|     100|0.57155191|  PASSED  
          sts_serial|   4|    100000|     100|0.99871883|   WEAK   
          sts_serial|   4|    100000|     100|0.43223055|  PASSED  
          sts_serial|   5|    100000|     100|0.77553740|  PASSED  
          sts_serial|   5|    100000|     100|0.01459295|  PASSED  
          sts_serial|   6|    100000|     100|0.14681364|  PASSED  
          sts_serial|   6|    100000|     100|0.16247448|  PASSED  
          sts_serial|   7|    100000|     100|0.90571045|  PASSED  
          sts_serial|   7|    100000|     100|0.83404528|  PASSED  
          sts_serial|   8|    100000|     100|0.61706599|  PASSED  
          sts_serial|   8|    100000|     100|0.53346793|  PASSED  
          sts_serial|   9|    100000|     100|0.36545801|  PASSED  
          sts_serial|   9|    100000|     100|0.81085607|  PASSED  
          sts_serial|  10|    100000|     100|0.59232695|  PASSED  
          sts_serial|  10|    100000|     100|0.95342967|  PASSED  
          sts_serial|  11|    100000|     100|0.52684236|  PASSED  
          sts_serial|  11|    100000|     100|0.04571915|  PASSED  
          sts_serial|  12|    100000|     100|0.78972779|  PASSED  
          sts_serial|  12|    100000|     100|0.75342262|  PASSED  
          sts_serial|  13|    100000|     100|0.60734822|  PASSED  
          sts_serial|  13|    100000|     100|0.90210254|  PASSED  
          sts_serial|  14|    100000|     100|0.04652997|  PASSED  
          sts_serial|  14|    100000|     100|0.07917711|  PASSED  
          sts_serial|  15|    100000|     100|0.24410175|  PASSED  
          sts_serial|  15|    100000|     100|0.78885861|  PASSED  
          sts_serial|  16|    100000|     100|0.06970868|  PASSED  
          sts_serial|  16|    100000|     100|0.99685118|   WEAK   
         rgb_bitdist|   1|    100000|     100|0.42567347|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.39431711|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.68493718|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.08516626|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.88311486|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.35663191|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.60838276|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.22991296|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.98844273|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.16385274|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.43490001|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.90473538|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.78656881|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.85016899|  PASSED  
