#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.74e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
         rgb_bitdist|   4|    100000|     100|0.77495239|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.88749948|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.85070928|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.78458121|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.77924210|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.19229893|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.91318213|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.09884277|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.53426361|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.57778679|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.03764625|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.15995921|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.93235828|  PASSED  
    rgb_permutations|   2|    100000|     100|0.91393972|  PASSED  
    rgb_permutations|   3|    100000|     100|0.86077238|  PASSED  
    rgb_permutations|   4|    100000|     100|0.08301766|  PASSED  
    rgb_permutations|   5|    100000|     100|0.75118956|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.90939454|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.29846299|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.74873174|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.22169932|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.52059671|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.72642056|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.53411773|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.84142812|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.61107169|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.06660779|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.98787047|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.02602204|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.03820948|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.06274079|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.51900897|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.76127620|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.88015626|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.73771752|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.26240547|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.34413013|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.10459822|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.77423457|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.87693594|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.41742141|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.87198865|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.95719972|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.66391786|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.42339460|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.27045204|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.37944037|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.47365910|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.28837156|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.05309061|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.82851611|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.34546037|  PASSED  
             dab_dct| 256|     50000|       1|0.90176656|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.42883415|  PASSED  
        dab_filltree|  32|  15000000|       1|0.79170828|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.44417589|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.22622220|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.47474160|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.36e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.71650987|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.35822922|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.72141058|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.19554050|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.07977931|  PASSED  
        diehard_opso|   0|   2097152|     100|0.89600574|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.44025289|  PASSED  
         diehard_dna|   0|   2097152|     100|0.96951017|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.80340423|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.55211902|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.13186651|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.65748244|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.16893158|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.90929687|  PASSED  
        diehard_sums|   0|       100|     100|0.20922206|  PASSED  
        diehard_runs|   0|    100000|     100|0.07585510|  PASSED  
        diehard_runs|   0|    100000|     100|0.09801396|  PASSED  
       diehard_craps|   0|    200000|     100|0.97548070|  PASSED  
       diehard_craps|   0|    200000|     100|0.48618612|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.43786466|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08039911|  PASSED  
         sts_monobit|   1|    100000|     100|0.13496739|  PASSED  
            sts_runs|   2|    100000|     100|0.22512325|  PASSED  
          sts_serial|   1|    100000|     100|0.64909227|  PASSED  
          sts_serial|   2|    100000|     100|0.76648010|  PASSED  
          sts_serial|   3|    100000|     100|0.84939915|  PASSED  
          sts_serial|   3|    100000|     100|0.64308399|  PASSED  
          sts_serial|   4|    100000|     100|0.43441853|  PASSED  
          sts_serial|   4|    100000|     100|0.10976893|  PASSED  
          sts_serial|   5|    100000|     100|0.12040327|  PASSED  
          sts_serial|   5|    100000|     100|0.10575891|  PASSED  
          sts_serial|   6|    100000|     100|0.10341256|  PASSED  
          sts_serial|   6|    100000|     100|0.33161255|  PASSED  
          sts_serial|   7|    100000|     100|0.34096393|  PASSED  
          sts_serial|   7|    100000|     100|0.43959086|  PASSED  
          sts_serial|   8|    100000|     100|0.94071753|  PASSED  
          sts_serial|   8|    100000|     100|0.99371128|  PASSED  
          sts_serial|   9|    100000|     100|0.64928560|  PASSED  
          sts_serial|   9|    100000|     100|0.62895088|  PASSED  
          sts_serial|  10|    100000|     100|0.73794859|  PASSED  
          sts_serial|  10|    100000|     100|0.89175242|  PASSED  
          sts_serial|  11|    100000|     100|0.91476335|  PASSED  
          sts_serial|  11|    100000|     100|0.62421986|  PASSED  
          sts_serial|  12|    100000|     100|0.68030219|  PASSED  
          sts_serial|  12|    100000|     100|0.99726540|   WEAK   
          sts_serial|  13|    100000|     100|0.10080433|  PASSED  
          sts_serial|  13|    100000|     100|0.14626695|  PASSED  
          sts_serial|  14|    100000|     100|0.03189737|  PASSED  
          sts_serial|  14|    100000|     100|0.03600830|  PASSED  
