#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
       diehard_craps|   0|    200000|     100|0.97329177|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.85756730|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93127183|  PASSED  
         sts_monobit|   1|    100000|     100|0.81845565|  PASSED  
            sts_runs|   2|    100000|     100|0.13238240|  PASSED  
          sts_serial|   1|    100000|     100|0.89054174|  PASSED  
          sts_serial|   2|    100000|     100|0.63738649|  PASSED  
          sts_serial|   3|    100000|     100|0.35285191|  PASSED  
          sts_serial|   3|    100000|     100|0.69988773|  PASSED  
          sts_serial|   4|    100000|     100|0.94163950|  PASSED  
          sts_serial|   4|    100000|     100|0.83458608|  PASSED  
          sts_serial|   5|    100000|     100|0.06848648|  PASSED  
          sts_serial|   5|    100000|     100|0.33743097|  PASSED  
          sts_serial|   6|    100000|     100|0.09134891|  PASSED  
          sts_serial|   6|    100000|     100|0.89335439|  PASSED  
          sts_serial|   7|    100000|     100|0.50357846|  PASSED  
          sts_serial|   7|    100000|     100|0.33176634|  PASSED  
          sts_serial|   8|    100000|     100|0.78397298|  PASSED  
          sts_serial|   8|    100000|     100|0.24198554|  PASSED  
          sts_serial|   9|    100000|     100|0.58212946|  PASSED  
          sts_serial|   9|    100000|     100|0.40099503|  PASSED  
          sts_serial|  10|    100000|     100|0.78111963|  PASSED  
          sts_serial|  10|    100000|     100|0.60204480|  PASSED  
          sts_serial|  11|    100000|     100|0.83902018|  PASSED  
          sts_serial|  11|    100000|     100|0.20679011|  PASSED  
          sts_serial|  12|    100000|     100|0.50012042|  PASSED  
          sts_serial|  12|    100000|     100|0.27195311|  PASSED  
          sts_serial|  13|    100000|     100|0.21799315|  PASSED  
          sts_serial|  13|    100000|     100|0.75983104|  PASSED  
          sts_serial|  14|    100000|     100|0.69035465|  PASSED  
          sts_serial|  14|    100000|     100|0.79711965|  PASSED  
          sts_serial|  15|    100000|     100|0.32572203|  PASSED  
          sts_serial|  15|    100000|     100|0.50308397|  PASSED  
          sts_serial|  16|    100000|     100|0.96648115|  PASSED  
          sts_serial|  16|    100000|     100|0.99820605|   WEAK   
         rgb_bitdist|   1|    100000|     100|0.39789248|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.25485399|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.01030719|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.96776870|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.13464869|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.09641326|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.96672177|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.73512973|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.79473320|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.32012312|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.80460638|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.69411191|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.43969463|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.99970245|   WEAK   
rgb_minimum_distance|   4|     10000|    1000|0.84355125|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.02335602|  PASSED  
    rgb_permutations|   2|    100000|     100|0.55819479|  PASSED  
    rgb_permutations|   3|    100000|     100|0.86659886|  PASSED  
    rgb_permutations|   4|    100000|     100|0.82060186|  PASSED  
    rgb_permutations|   5|    100000|     100|0.57128073|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.44199247|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.63964460|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.01883478|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.17658441|  PASSED  
